review,sentiment_score,sentiment
while the title jill the reaper will entice or even shock you the truth is the opposite dolph lundgren plays a cop trying to stop a serial killer a female serial killer the main actor does okay on playing a cop but the story itself cannot be saved and truly it needed some rewriting,-0.4306,Negative
even though the age limit starts at three my two year old son loves this toy he received this and his own tv and dvd player for christmas for his room and now he spends more time in there than anywhere else it is also great because you have the option for setting it up with three dvds players we take it with us in the car with the portable dvd player makes a great gift for kids and the parents will love it too,0.9638,Positive
the original suicide kings disbanded shortly after the release of their vinyl ep in apparently vocalist pinky went on to record several solo songs with various sunset strip types attempting an early rock n roll soundthese songs make up the majority of this albumto justify calling this the suicide kingsa few poorly recorded live tracks from  with original guitaristmachine gun mikecrescionewhose face also appears in an old photo on the coverhave been includedthis album is very similar to a polish bootleg from years ago called suicide kingshigh and mightyi suspect from the weird liner notes that this was also put together by a foreigner who was unfamiliar with the bandif youre a fan of the original group with pinkymachine gun mikelarry and jeffyou might be interested in the album  suicide kings fans cant be wrong which came out in,-0.9354,Negative
i used to have the record oops that dates me good to listen to redbone again,0.4404,Positive
i tried to put the cartridge in the printer  times and the printer rejects it i did some research online and found out that perhaps the chip is broken anyway money wasted,-0.8591,Negative
read my full review hereif youre requirements for a horror film are blood gore death and gratuitous nudity then blood oath might be the kind of horror film you can sink your teeth into,-0.9062,Negative
this is grace slicks worst effort in the studio but listen to the cuts maybe their for you nothing close to surrealistic pillow et al but a nice round out if youve already purchased freedom at point zero dragonfly and modern times,0.7935,Positive
simply you will not be disappointed i now own  pair co workers have even taken them from me and handed me the  bucks and said go buy more,0.3724,Positive
not worth you time to look ati am surprised that mark wahlberg would be part of this movietoo gross too crude,-0.7626,Negative
great set of good ole english murder mysteries picturesque countryside castles and charming cottages along with a little murder and twisted plot very good viewing,0.7096,Positive
this book is an excellent learning book for experienced programmers however its index is not as complete as needed for a reference volumne the summary at the end is comprehensive but not detailed enough to be really useful the online reference is more useful it contains a couple minor errors in advanced areas that wont become apparent until youve used javascript for some time,0.8963,Positive
this book is for beginners but it assumes that you know the basics about computer programming i mean it wont teach you what is a program what is code or those very basics things if you have programmed in c c or c then this books could be slow for you but still useful but if you dont know about those languages or object oriented programming then this book is great to learn oop and java really good,0.9412,Positive
great construction good solid gloves you wont find these at many places these are a must for cooking with a dutch oven or even on a grill you wont be burned if you purchase these thanks,0.8885,Positive
comes razor sharp and easy to maintain with stropsaw works surprisingly wellquality and looks are above parjust a great all around pocketknife that turned into my edc,0.8481,Positive
ive seen this movie on cable three times so you can guess that i liked it ok so its not the high budget scifi movie weve come to expect the plot is not original apocalyptic war that has destroyed a planet that was once considered to be paradise but it does have a number of twists that make it compelling peter weller is excellent as the commander who wants to stop the war and call a truceif you cant find it on cable then get the dvd,0.9444,Positive
a cost effective upgrade for a netbook at a great price corsair is as good as kingston and the other long known memory makers,0.8779,Positive
this biography is only for the most hard core fans of the queen and the monarchy of the uk it is extremely slow moving and the interesting parts are few and far between i usually devour books of this sort but the author concentrates too much on miniscule political facts and musings rather then on the life of the queen perhaps this book would have been better titled british politics and the reign of elizabeth ii ms longfords book is a much better biography of this grand lady,0.9319,Positive
just to note this game is a first person shooter if you dont like this sort of game dont buy itthis game reminds me of the old james bond golden eye on the nintendo  which i loved execpt with new things to do and is alot more fun you are agent burkowitz an agent of britain and america to infultrate germany and find out about hilters plans and control of the supernatural in use of army warfareyou get alot of cool weapons and has a good story line something for a fan of war games or first person shooters,0.7255,Positive
this is an interesting book about a very interesting ladyms quine has an intimate view of one of the most famous marriages of the past century she writes eloquently of a time past where women lived to be married and the progression to the modern day where most of the bridesmaids had shed those essential husbandsms quine has an easy to read writing style and you can whip through this bookmy only criticism is that the book focuses far too much on ms quine she seems to have a very high opinion of herself and while others may have found reading about her interesting i did not,0.7964,Positive
this book is beautiful the popups are breathtaking and the information is up to date and accurate it was recommended to me by natural history magazine which is a great scientific forum babies who are still young enough to rip books apart will be sorely tempted by these lovely dinos so be warned great for dino lovers six to,0.9756,Positive
i couldnt really get into the movie but then again i saw it when i was young everyone says the movie is adapted from joseph conrads heart of darkness but that is only partially true in college george lucasyes the george lucas and john milius wrote the story but when coppola wanted to proceed with it lucas was busy with star wars coppola who owned the rights to the movie through zoethrope rewrote the story with milius and went ahead and directed it anyway despite lucas lucas had wanted to direct the movie which he felt was at least half his and it put a strain in his and coppolas friendship lucas felt that coppola had wrecked his and milius original story i would have liked to see what lucas would have done with it and compared the two lucas retaliated with purple hazenever seen it heard mixed reviews which universal renamed more american grafitti,0.7579,Positive
this is by far one of devos strongest albums a new wavepunk rock tour de force if you like devo this is a must have,0.6597,Positive
very nice diver watch fast delivery from the seller really feel good to have this orange monster on the wrist,0.7408,Positive
i have waited so long for this dvd to finally come out i was amazed at all the male best ofs and virtually none of the females being recognized as some of the top comics of snl this is a genuinely super dvd i laughed all the way through  get it  this ones a keeper,0.9442,Positive
i didnt find this book to be very useful at all it was basically a short review of general dog care focussed on city living however all the information was very breif and didnt go into very much detail if you really want to learn more about your dog i suggest getting a book that is more focussed on just one subject i highly suggest the book rover dont roll over for positive training this book might serve someone well as a general reference but if you have any troubles or questions that need answering or even trouble shooting dont bother with this book i aslo didnt like their training style it wasnt harmful i just dont think their particular techniques work as well as in rover dont roll over,0.0854,Positive
the design is very bad and makes a lot of noise and fan material seems very cheap within a month i broke  plates,-0.6478,Negative
i am trying to get my year collection of earrings under control like previous reviews indicated this will hold  pairs of small post earrings and you will lose storage space with larger posts and dangles this product could be redesigned to hold more panels by adding more slots to the main holder just by adding more slots with additional storage panels you could add another  pairs of earrings however i am happy that i purchased this item because it is allowing me to find earrings that went missing in my jewelry armoire if the company ever redesigns it as indicated above i will purchase another one without hesitation,0.4791,Positive
very soft and cuddly however i didnt know the eyes were fixed  huge disappointment,-0.25,Negative
lately ive had a rather unhealthy obsession with bad movies generally ones from the s and s are better but i by no means limit myself to those decades when it comes to bad acting plot holes and laughable effects so when i saw the name mongolian death worm i got really excited sadly even on the level of entertainingly bad movies this had very little to offerread my full review here,-0.96,Negative
first time using a multihandset system i was a little skeptical of sound quality at first having used this product for quite some time now i must say i am very happy with the overall quality of this item perhaps the only thing i would change in the device is the missed call message appearing on each handset that is not used to answer a call even though the call was answered on another handset minor issue other than that a fantastic product would certainly recommend,0.8514,Positive
usually when people buy cds they listen to it for a little while then put the cd at the back of closet well it has been  years since i bought bally sagoos rising from the east from paris and im still listening to it i love it,0.743,Positive
this soundtrack was bad the songs and the mix of artists was not effective seems like it was all thrown together at the last minute the only good song is kenny lattimores smooth beautiful girl particular disappointment goes out to maxwell with his two tired full of fluff songs pass on this cd or dub it from a friend spend your dollars on amel or something else,-0.521,Negative
this item is advertised as a double feature well when you open the case it only has one moviecheck with the seller prior to the purchaselesson learned,0.2732,Positive
not a good recording solti doesnt seem to have any new things to say on the greatest of all operas since his  recording the old cast had margaret price and lucia popp on the plus side the new one only has renee fleming ann murray is best forgotten and terfel is not really suited to the title role he is a better leporello if you want a modern digital don giovanni get sir john eliot gardiners recording in archiv it has a sensational donna anna and donna elvira in luba orgonasova and charlotte margiono rodney gilfry is a charmer a high baritone suits the role best gardiners conducting is very exciting and musicologically well informed,0.9682,Positive
we used to play the original audio cassette version of this entrancing story to our baby daughter now we wanted to give the experience to our granddaughter so we bought the dvd version but its not the same the audio was great to play for the baby after lights out to go to sleep by to fantasise to beethovens glorious musicwatching the story told in visual form is distracting and doees not achieve the same magic for the imaginationwere now going to see if can find the original audio cassette format but one way or another the stories of composers in these series are a wonderful introduction for young children to the beauty of classical music,0.9839,Positive
as a uk visitor to las vegas i have found it a very handy and the best guide on the market with up to date rieviews of shows and hotels with plenty of tips for especialy for us people across the pond,0.6369,Positive
a neat little herb garden comes with six seed packets and four pots was not sure which packets to choose it is very clean as they use a treated sponge to grow the seeds instead of dirt for a simple little herb garden with very little fuss or mess this is perfect,0.6242,Positive
what a load of garbage save your money for the gambling table and find a free copy of this rubbish on the net,0.7579,Positive
i should have checked the  copyright date an outdated technical book for uptodate equipment is useless i will be more cautious next time,-0.5413,Negative
while this book does contain good information its presented in a way i couldnt get past in an attempt to read like the owners manual for a machine like a car or a stereo system the book consistently refers to the baby as the model it was obviously meant to be cute but in my opinion it fails in that respect im very much turned off by referring to babies in the same way you would refer to your washing machine my baby is a person not a thing to its credit the book does explain how each baby is unique but it does so by pointing out that some models do this and some models do that again im turned off by referring to the baby as a model,0.8519,Positive
when i was little i use to watch this movie twentyfourseven its an awesome movie and story that i would recomend to everyone young and old,0.6249,Positive
you guys should all know that serial joe have improved x since their last album ryan stevers mom told me that it was because they had more experienceand i completely agree i just want to say to everyone that its been a tough few years for the band and its finally paying off wish them good luck at woodstocksandra,0.9303,Positive
unwieldy brave new journalism so wheres the beef our visit turned up precious little that resembled mif and other reviewers report the same there is a ringing consensus among critics why cant mr wolfe bring us the story in full,0.7096,Positive
worst design everi dont even think it is safegod forbid someone who isnt familiar with the chair try to move it while the child is in it the musical part of it bends towards the child and it weights oh guessing here  lbs or more it is going to clock your little one right in the facehead the legs are way to wide and take up an entire table one light broke in a week if you child is active heshe can practically lauch themselves over the side of the chair i just hate it,-0.8807,Negative
this book was hard to follow initially picked up almost half way through and enjoyed the ending hope to read more,0.7003,Positive
the arrogance of this writer makes you feel worse than before you opened the book he implies that it is so easy to raise your selfesteem if you do what he says he is the expert you are the moron with lowesteem better books out there,-0.4694,Negative
bunn ncd cup black coffee decanterfast service i love my bunn coffee maker doesnt have thatnasty plastic taste you can get with most coffee makers,0.6369,Positive
this film is terrible not only is the narrative extremely inconsistent it has absolutely nothing to offer visually as far as politics goes it is about as accurate a take on the bosnian conflict as any biased western souce the film could have been a little more weighted in its presentation of a conflict we westerners have yet to understandand with the help of movies like these probably never will,-0.5574,Negative
i am so pleased with this cookbook not only are the recipes widely varied and excellent its physical quality is good as well it is tabbed and indexed extremely well making it a breeze to use i havent lost any weight yet but thats another story you wont be disappointed if you order it,0.8836,Positive
after laying my hands on this album my whole life changed i evolved from being a young boy to a mature responsible folk from the lyrics to instruments its amzing i also like the fact that is a production of my man george duke this album has the power to change your perspective when im listening to the album i feel like everybody is watching and they are witnessing evolution,0.8442,Positive
this book is full of errors and inconsistancies since when are the main people at an air force base army personnel very hard to follow the story line it seems the author was in too big of a hurry to write this book he didnt even bother to prrof read the thing for me this book was a complete waste of money and i wont be buying another one by this author,-0.5936,Negative
this is definitely the best cd ever put together by a band let alone a band that lacks the fame of a matchbox  every song on this cd could easily be a big hit if it was coming from a big name band i saw them live and the guys were great they even come out afterward and signed autographs for anyone that wanted it you like smooth sounding melodic choruses than this cd is a must have the lead singer reminds me of rob thomas of matchbox  and the band has a similar sound but even better this cd is a must have,0.8873,Positive
after reviewing hundreds of comments and reading about the triumph  ratings in two publications including consumer reports i went shopping and tried my daughter now  months in my top picks i decided on the triumph  i read the instructions and was ready to place my daughter in the seat to adjust the straps and recline to best fit her before installing the seat in the car i placed her in the seat and buckled her in and then began turning the knobs to adjust the belts and much to my horror when it was just right i stopped turning the knobs and pulled the straps to make sure they were snug and the straps just pulled right out of the seat having never locked into place the seat was manufactured sept   evenflo stated that every car seat is tested before being shipped which scares me even more that this has happened they also stated it will be  weeks before i can get a replacement,0.8885,Positive
my  month old portuguese water dog loved the squirrels but also loved to play tug of war so she ripped open all the squirrels fairly quickly and i had to throw them away because there is this green stuffing and plastic squek toy part she does still have the larger part which is intact not good for tug of war,-0.4037,Negative
this was a very interesting book i loved reading all about the mob and the rat pack the stories brought the world of old vegas to life i also loved reading the story about frank sinatra and the mob a very interesting read,0.9362,Positive
the tag line of  hour series of books from sams states when you only have time for the answers unfortunately most of these books dont even come close to fulfilling those aspirationsthankfully for me this book is an exception the book starts out simply enough but quickly gathers steam teaching all about creating and hosting asps writing script and incorporating activex controls i especially enjoyed the chapter on dhtml,0.7899,Positive
this tastes like sour grass i ordered it by mistake  the powdered milk is delicious wonderful but the evaporated milk even amended wateredmixed with fresh goats milk is astringent and hard,0.7269,Positive
a filter is a filter and this one is no different it does its job the only difference in this then my old  gallon whisper filter is that these filters are for bigger filters and thus have dual sides where one is filled with carbon this is beneficial as it helps with the smell of the tank,0.5106,Positive
totally disappointed i read all nora roberts books spellbound is not only the shortest book i read it in under an hour of hers that i have ever read it also wasnt typical of her usual wonderful writing i especially didnt like the theme of the story,-0.2689,Negative
some pagespp of this reprinted edition are hard to recognize i strongly recommend you to buy an old book,0.4939,Positive
after hearing fatboy slims the rockafeller skank i was really looking forward to what else would be on amp  and i was disappointed beyond that as a huge fan of techno and electronica i wasnt into the remastered muck and hip hop,0.128,Positive
alternative titles for this film should be rebel without a plot or phoniness without a cause i cant decide which one is more accurate its a tough call during the film i never got the feeling that this was even a half hearted attempt at describing real life the fact that this false artificial self involved movie was a touchstone for a generation of the same qualities should tell you something about the decline of our society and not just the decline of hollywood filmmakingif you want true teen age nihilism try american me or boyz n the hood instead,0.0942,Positive
im trying to think of something negative to say to balance all the positive but im afraid i cannot this was my first introduction to rich mullinss music aside from a few individual songs sung in church rich truly challenges many of the weak points of the church today in these song he challenges judgmentalism brothers keeper legalism promenade and focuses on the responsibilities of the christian let mercy lead brothers keeper as well as providing interesting biblical accounts quoting deuteronomy to the devil damascus road buy it now but only if you are willing to think and be challenged,0.9246,Positive
this book had an interesting premise but the writing is not very good and the characterizations are sort of flat i fell victim to the locus ads that praised this as the most acclaimed fantasy debut of the year what nonsense the offerings of both juliet mckenna and elizabeth haydon were far more impressive and got better reviews i will not read the sequel,0.7395,Positive
i bought this set in order to fix my camera lens as it has so tiny screwsi used later for my laptop and lots of other devicesthis set is a great one however its not magnetized but its ok,0.6542,Positive
i agree that this book is a great weekend read while the primary characters are natalie and tom they are related to the parties in the other storylines this book was entertaining and somewhat thoughtprovoking i thoroughly enjoyed the main story as well as the subplots in this novel while mainly a guilty pleasure this novel did remind me that life goes on and that we all approach change in our own way,0.9712,Positive
actually this book deserves a negative rating this book is racist trashas a white preschool teacher i would never allow this book anywhere in my classroom even if i taught older children i would still not allow this book in the classroom it is unmitigated racist trash until children are old enough to be critical readers and thinkers this book only perpetuates racism of course it is not designed for older children who have these types of skillsfor all those people who rate this book highly they are only showing their inability to understand how harmful early racist stories with their stereotypical illustrations influence young children racism is alive and well in the us,-0.9809,Negative
the book has a very interesting captivating style the author has given us a character who must come to grips with many internal struggles and although the first half of the book deals with much emotion the second half of the book is full of so much action and you are aware of how real the main character is this is not a book for children but is a thoroughly rewarding event for the adult reader especially  i found the authors style to be very unique and the style complements the story i look forward to another novel from him,0.8495,Positive
received the router bit on  i thought the product mixup from the previous review would have been corrected by now i still received the  cutter bit rather than the  cutter quadracut it appears it is a mix up from the freud factory the packaging and the bit itself were both marked  which is the quadracut number however the bit is the old style  carbide design,0.0772,Positive
very good producteasy to install and very visible i wouldnt go kayaking with out it,0.4927,Positive
understand first that these recordings were a gimmick to get around a contract between the record companies and the bbc artists rerecorded songs in the bbc studio that could then be played on air without limits at best these recordings reproduce what was recorded in studio most of the time they are worse there is none of the energy of a live performance and none of the polish of a real studio recording unless you must have everything that cream ever recorded save your money,-0.3983,Negative
this book was of little use in my preparation for the ap in art history it contained numerous questions that had little or nothing to do with the ap curriculum or test which led me to doubt the usefulness of any of the questions having taken the actual exam i can say with certainty that although it is oone of the few available review books it is certainly not worth the  that i paid,0.3472,Positive
adv had released the first season and one has to assume that they have no plans to finish it so its fortunate that the right stuf astroboy has done so as the previous reviewer stated these episodes are in japanese with english subtitles and no english soundtrack no big deal to me but it will irk some viewers language issue aside this is a truly outstanding series that any anime fan should enjoy and learn a thing or two about modern japanese society in the process some new characters have been added and existing storylines kicked up a notchfor me the most amusing moments center around the rivalry between super gal ran kotobuki and the cutebutprickly debutantegal mami hondabut trust me there is plenty to love about this series and right stufs dvd quality is fine so dont wait for an english dubbed version that may or may not ever be released buy this now,0.9909,Positive
i am so glad that amazon carries these bears and i hope they continue to do so this bear is the only stuffed toy that our two dogs will not destroy they carry them around like a security blanket the local pet store stopped carrying them which turned out to be a blessing because now i can buy them at a much cheaper price,0.9451,Positive
i know ill get flamed for writing this review but i just cant take it anymore a sak is more of a status symbol or a knife for a medac ranger than a edc knife saks are for people who really dont like knives do you really need a knife with a toothpick id take a gec or a case and spend ten times more any day,-0.6101,Negative
dont mix the tuscanwith any citrus fruitor it will curdlemilking a brown cowchocolate milk flow or whitedoes anyone knowcreamy milk touches my lipscold sweet treat is hard to resistchug a lug tuscan milka cool glass of milkand a stack of oreoswill make you real fat,0.765,Positive
this book provides a lot of information about ancient egypt for example i learned how ancient egyptians lived and what they did in their everyday life the book has a solid chapter about ancient egyptian art i was surprised at how many different types of art there were ancient egyptians painted weaved and made pots statues and jars out of clay they also made jewelry and large pots out of gold i also learned about their burial chambers in the pyramids they put paintings and all of their belongings in the tombs for use in their after lives the pyramids are made of big stone blocks workers would move the heavy stone blocks into the shape of a pyramid the book describes how the ancient egyptians also built large ships and small canoes to go down the nile river this book is an interesting introduction to ancient egypt i would recommend this book to anyone who wants to learn about ancient egypt and the pyramids,0.5994,Positive
ignore the customer supplied picture  it is a stock photo of a different unit i will add on to the other reviewers comments amazon needs to provide both a picture of this item and an accurate description this item is not similar to the battery tender model  you would assume that because this unit has the exact same description as that model but just a w added to the model number and that its just white in color this unit has a completely different and nonwaterproof plugend that also does not have a sealing capif you plan to use this anywhere it might get wet boat motorcycle car etc your battery has a good chance of shorting between  and  terminals i am returning the two i bought and hopefully others will understand what this unit realy is before they order it too,0.8735,Positive
this item is very cheap and that is why i purchased it but after several uses the contact prongs pulled out and got stuck in the electrical outlet so i purchased a replacement guess what same result the old saying you get what you pay for reigns true here i recommend ordering a better more expensive model or order a handful of these because they break so often,0.8271,Positive
it came and didnt work we had the game buffed at the local video game store still didnt workshould of sent it back but to late now,0.0,Neutral
i usually write reviews only when i love a book but ill make an exception this time there arent a whole lot of thirdparty informix books and my employer was paying so i pretty much bought all the obvious ones joe lumbleys informix dba survival guide is always on my desk glenn millers informix basics is handy if i have a basic question and elizabeth sutos informix performance tuning is invaluable its actually not a bad one to read first because the explanations of the architecture and key concepts are so concise and clear but this one lives on the shelf its way shorter than it looks big type font and whatever i need to know about is usually not in the indexi hate to criticize authors because i are one and i know how much effort goes into a book but this one just doesnt do it for me,0.5712,Positive
i am so happy that i watched this movie when it first came out i never wanted to go see it because it just looked boring but recently i went to rent the video and found out that that was the biggest mistake i had made its fantastic i had never really been a fan of nicole kidman and ewan mcgregor but this movie totally just changed my view towards them bothnow i am a total ewan fan and am really happy to discover this i find him totally suitable for his character very charming in doing his part and i love his voice there are not many actors out there that can act well and sing well but theres ewan the story although is not original and the songs also but it blended together perfectly your song come what may are my personal favorites im always rewinding back just to listen to the songs and now i got them both on computer i would totally recommand this film to those who have not seen it,0.9854,Positive
this book the egypt game is really interesting at the beginning you get bored but dont stop reading because later this book will get really good april is a girl who moved with her grandma for some reasons she meets a girl and her brother and they discover a very funny game one day something occurs and they cannot go out to play out for a long time it wasnt a day or two it was more than a week before they were three members who are in the game and at the end they are six during the time they were in egypt strange things begin to happen when they get back to playi liked the book it was fine i would recommend it to people who like mysteries people like you can read this book or else you wouldnt be reading this review at the end of the story things get much better for everyone but april gets a big idea which gets funny if you read the whole book,0.9891,Positive
i brought this dvd so i would see if i wanted the season  dvd i loved it and right now im been lent the season  dvd so im watching it this dvd however is so great this show is so funny bob denver plays gilligan great skipper is indeed the big teady bear everyone says he his and ginger is the kind of women who would be discribed as magically charming probely because of the music that accomponies her apperances with gilligan two on a raft is a great pilot it really shows you what to expect in later episodes and as for home sweet hutwell its good too but not as good as two on a raft its all laughts here on gilligans island,0.9715,Positive
careful when you read reviews note that all  star reviews fell within a week of each other wonder who wrote them,0.1531,Positive
there are many issues with samsung and customer service samsung sold many dlp tvs these tvs had a defective chip that caused white dots to appear on screen the white dots start out as a few and then continue to multiply samsung acknowledge the defective chip but would not cover the repair bill to replace the chip do not buy samsung google search samsung white dots on dlp tvs you will see many unhappy angry customers there are many other brands to choose from dont buy a tv that will only last  years,-0.9011,Negative
after reading nms surgery  i really trusted nms series as review book for boards and end of clinical rotation exam during my pediatrics rotaion i bought nms pediatrics and start to notice the differences between the books of this series but when i read nms medicine i felt like reading newspaper about medicine it is very boring and dry it is not usfull at all for your medicine rotation since it doesnt give you management plan the heamatolgy and neurology chapters are the worse but i should say that it contains good respiratory diseases chapter at the beginning of each chapter there is introduction about history taking and clinical examination which i used to skip when i satart to read any chapter because it is wasting of time it does not inculde the important points for board review i suggest you to search for another bookwhat i understand after i read this book is that the author is very talkative and boring,-0.7947,Negative
i never recieved my order i emailed the seller three time with no responce i have left a negative feedback and placed a claim in the future i will take a close look at all sellers i deal with in amazoncom,-0.7096,Negative
i was given this book to read during the holiday how disappointing i figured something was up when the start of the book is a lot of quotes  even whole pages  of the works of others not a good signthe writing style is clumsy were there no editors available to him there seems to be at least four exclamations on every page didnt anyone tell him that the more you use the less impact they have sort of like crying wolf the content is embarrassing as well who pronounces that he is of the same level as leibniz and godel leave that for someone else to do to say that yourself is painful to readi have to say the math part is fine but to find it you have to go through really poor writing avoid this book,-0.9158,Negative
i never got a chance to read his book because amazon didnt deliver and there is no way of communicating with them about this i wonder what level of customerservice we can expect during the busy holiday seasonor is it this part of their  use other peoples money strategyit isnt right,0.1179,Positive
very hard to use it got all over my fingers i couldnt get it out of the container i thought it would more like putty but it was almost rock solid i even tried microwaving it slightly but even that didnt soften it up i would not recommend this product at all it also did not stay in place once i managed to get enough out to use,-0.1612,Negative
i saw the good reviews of this movie online so i rented it i figured john cusack would be really good however the movie proved to be very crude and ridiculous the satire was so strong and outrageous that it wasnt very good at all it wasnt entertaining either it was not funny the jokes were just awful and most of the time not understandable and i had to turn it off after twenty minutes i regret spending my money on this movie,-0.8142,Negative
this book is not only something you could just cry over it has no happiness inside i would recomened it to those people who would like to read more about the darker part of life,0.2023,Positive
for any new owner like me this is only resource you need authoritative yet easy to read the author provides all the ins and outs on training socialization nutrition and every other dogrelated issue owning a pet is fun and this book makes dog reference just that  fun,0.9001,Positive
wow this is just no comparing this pristine transfer to any previouslyavailable format if youre a fan of black  white movies youll appreciate the job columbia has done with this one as for the movie its somewhat less fanciful than much of harryhausens work a terrific italian setting possibly the best stopmotion creation from the master love those mouth movements and a lean script make for  funfilled minutesnote if youve got the sinbad movies or some of the other harryhausen dvds youve already got all the extras here if not the harryhausen chronicles hosted by leonard nimoy will be a real treat for you in fact i only held back one star in the rating because of the complete lack of new supplemental materials,0.9666,Positive
i actually gave up on this book after about  or so pages of going no where eventually i returned to it but the ending didnt do much for me after i finished it i unloaded it to a thrift store but the thing never soldmurakami is a good author but this is not a good work try something else i suggest wild sheep chase,-0.7794,Negative
i bought this unit because it was very light weight and small footprint i just used it in the snow storm today and it does a nice job in places snow had blown to over  deep it takes a little longer than a larger unit but gets through the deep parts with no problems as with any unit the second pass is much easier than the first if you tilt the unit the paddles grab the ground and it will help propel itself making life that much easieras far as the hard to start comments this unit has a choke but lacks any throttle control its always full i believe it tends to flood easily if over primed then it takes a while to clear because its under full throttle try starting with two pumps of the primer and dont over do it the electric start is very nice as wellstars because unit is not listed on toro wesbite and very hard to get info about it two cycle motor is loud and uses oil but this is par for the course witrh this type of equipment oall i am very happy,0.9107,Positive
hello what happened to the other seasons why suddenly changed to releasing the best of mad about you thats not what i want or at least not what the people who enjoy watching the seasons i really dont understand sony should reconsider releasing the other seasons have responsibility for release until the finalplease do not disappoint mad about you fans all over the world,0.4653,Positive
we needed decorations for our tim burton themed partythese are definitely unique and had not seen them listed anywhere elsethey are adorablejust like the old weebles toys from years ago,0.6369,Positive
this book is utterly disturbing and disgusting not only does the hero of the novel rape her he is emotionally abusive and likes to see her cower not only does the author make this seem ok she romanticizes it and glorifies it ughif i could give lower than one star i would,-0.5356,Negative
class matters is such a great crystallization of things ive heard about class in little bits and pieces leanderwrights models brings all the parts together the format is really wonderful i found myself picking it up reading a story putting it down to think for a while and then flipping to another section for new inspiration i so appreciated that the stories highlighted showed both the challenges and the successes of working across class lines,0.9671,Positive
the alchemy of fear although oriented toward business was invaluable to my personal growth it showed me that i was hiding in my little world out of fear of failure of new challenges it showed me how to use  face my fears and to succeed getting my career and personal life back on track this is definitely a thought provoking good read,-0.5859,Negative
this book really opened my eyes i do not know why the american cancer association has not looked into trying this remedies it sure is a pity,-0.6486,Negative
i needed this book for a class that was equally as pointless as this book i did get an a in the class and i dont think i cracked the spine of this low quality reading material just use the internet,-0.3346,Negative
after less than a year of use it fell apart and part was stuck in my cigarette lighter plug,-0.25,Negative
this movie had a boring villain no gadgets a terrible soundtrack and just didnt seem like a bond film at all maybe its just that i dont like roger moore but i found this movie to be very boring especially when compared with any of the earlier films with sean connery or george lazenby the plot was pretty lame as well moore tries to retrieve some machine that would controll british submarines while some double crossing british guy tries to sell it to the russians a lot of the other reviewers seemed impressed with the stunts and action scenes and i would have to agree that they werent too bad which is the only reason this film got two stars a good bond film however will have a fairly compelling storyline where the action scenes flow into it in this movie though it seemed like the entire film was just one big excuse for bond to get chased down a mountain by guys on motorcycles if only moore could make another film like the spy who loved me,0.9251,Positive
this cd is awesome im a fan of all types of music especially techno this cant be considered techno but its at least dance dance dance revolution made me fall in love with this i purchased it and the rest is history,0.875,Positive
disappointed that it didnt come with the holder for the garminso its not a complete set just the mount and basei give it  stars because the base is a lot better then my original must seek the part i need elsewhere,0.2732,Positive
our mediumsized  pound terrier tore this into bits in about  minutes this might be a fine toy for smaller or older dogs but i wouldnt recommend it for a strong chewer,0.4914,Positive
in some areas this is probably the only book to explore this content you cant get more far thinking than thisthe challenge of restructuring other planets   from releasing the deepburied frozen waters of mars through a greenhouse effect to realigning the moons of jupiter and creating new moons by transporting asteroids james oberg mission flight controller at the nasa johnson space center examines the specific problems awaiting us he also describes improvements that can be carried out on earth from increasing freshwater supplies to offsetting the coming ice agewe need more thinkers of limitless possiblities and this author is one of themhighly recommended for every reader teacher student worker in astronomy and earth sciences the reading level is fine for laymen readers of science too from high school on up,0.5719,Positive
after reading all the positive reviews i bought this pump and was very disappointed it took me an hour and i only had one once in the bottle thinking maybe i was just incapable of pumping i was hesitant to shell out the big money for the gold standard electric pump the medela pump in style but finally realized i cant live as a nursing mother without a successful way to pump so i bought it what a difference now i have a hand free for the remote or a magazine and i get  oz in less than  min so easy to build a reserve of milk in the freezer and have freedom to leave the baby even for just occasional use skip the manual pumpadditionally for some reason avent had to make their bottles a unique size so you cant use other brands for collection or storage and are stuck with the avent bottles which i personally did not care for,0.8783,Positive
i love stories like this the story of jake who comes home tough but still unsure of hinself and she with her tough exterior is conflicted with her preconception of who jake really is good romance and a happy ending,0.9474,Positive
the rooma scheduler we received looked great at first glance but after closer review the main brush assembly was cracked one of the electronic door blocks was rusted in the battery compartment and when we started the roomba the small side brush spun off and we could not find the nutit was a gift for my mom so i was quite disappointed in the refurbs condition i sent it back and i went to sears that night and bought a new one the new one works great,0.6922,Positive
